name,epm1,epm2,team1
Aaron Nesmith,-0.8458988839538203,-0.888998404337624,BOS
Aleksej Pokusevski,-2.235338448927398,-0.5278088244992255,OKC
Anthony Edwards,0.02377187558689595,1.180775178276138,MIN
CJ Elleby,-0.25322631540525853,-1.1699685685554977,POR
Cassius Stanley,-1.84261501256154,-0.8884531607402754,IND
Cole Anthony,-0.8663581569510247,0.13165175166285417,ORL
Deni Avdija,-0.5261261522054208,0.1802087632587961,WAS
Desmond Bane,-0.04605902460599791,1.6975000078641982,MEM
Devin Vassell,-0.48323606313715495,0.13568113795610873,SAS
Elijah Hughes,-1.2293134594324928,-2.240624784202355,UTA
Immanuel Quickley,0.7812235588467934,1.2305476136791498,NYK
Isaac Okoro,-0.6881934924690154,-0.06568779411055196,CLE
Isaiah Joe,-0.047077294105682295,-1.100404873834152,PHI
Isaiah Stewart,0.6392432093626108,0.13196084339751013,DET
Jaden McDaniels,-0.10044255983559479,0.015177969880339967,MIN
Jahmi'us Ramsey,-1.101542302530608,-1.844499894401381,SAC
Jalen Smith,-2.0867505414379943,0.6556958446404898,PHX
Jay Scrubb,-1.2526397749217164,-0.8459927669573372,LAC
Jordan Nwora,0.0811759159104148,-1.2456996544309598,MIL
Josh Green,-1.2854518846509075,-0.4530635101606918,DAL
Kenyon Martin Jr.,-0.36828354710009126,-0.1472649023973227,HOU
Killian Hayes,-1.7786734653969622,-0.8400673050815143,DET
Kira Lewis Jr.,-0.7294947922469937,-1.6841296699705939,NOP
LaMelo Ball,0.11277151856711061,1.4032417877639185,CHA
Malachi Flynn,-0.7198212319999922,-0.877367744555768,TOR
Nick Richards,-1.8645836353845175,-0.7793069473822629,CHA
Obi Toppin,-0.26270849876047536,0.9637465612228417,NYK
Onyeka Okongwu,-0.09358548969410327,0.9099479893228507,ATL
Patrick Williams,-0.9043988277991625,-0.49385928607357843,CHI
Paul Reed,0.9949554381227426,0.31772064286404456,PHI
Payton Pritchard,-0.4058150831983868,0.15881896526134817,BOS
Precious Achiuwa,-0.4443612779116162,0.3090036059874912,MIA
R.J. Hampton,-1.6835916481427462,-2.026387381061314,ORL
Reggie Perry,-1.5017944336015794,-0.15751259331967812,BKN
Saben Lee,-0.4873416390986484,-0.8634405620724963,DET
Saddiq Bey,0.30714616687175494,0.1592255508842718,DET
Sam Merrill,-0.8222548106065392,-0.8816285885615396,MIL
Skylar Mays,-0.1256754224731636,-1.3005201067153858,ATL
Theo Maledon,-1.5023649533921828,-1.22239500425024,OKC
Tre Jones,-1.2456816000072066,-0.35304200256758145,SAS
Tyrese Haliburton,0.17007192649828567,0.576106889497429,SAC
Tyrese Maxey,-0.6414542002565528,0.6562255614334107,PHI
Udoka Azubuike,-1.394421164656138,-0.4648133291393193,UTA
Zeke Nnaji,-1.271084174228056,-0.5973977954138255,DEN
